x,y,x_unit,y_unit,source_pmid,fig_ref,series,panel,digitization_tool,date
2.1689,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.1918,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.2146,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.2374,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.2603,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.2831,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.3059,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.3288,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.3516,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.3744,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.3973,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.4201,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.4429,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.4658,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.4886,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.5114,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.5342,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.5571,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.5799,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.6027,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.6256,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.6484,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.6712,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.6941,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.7169,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.7397,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.7626,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.7854,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.8082,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.8311,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.8539,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.8767,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.8995,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.9224,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.9452,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.9680,141.6821,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.9909,141.7438,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.0137,141.7438,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.0365,141.7438,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.0594,141.7438,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.0822,141.7438,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.1050,141.7438,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.1279,141.7438,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.1507,141.7438,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.1735,141.7438,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.1963,141.7438,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.2192,141.7438,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.2420,141.7438,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.2648,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.2877,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.3105,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.3333,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.3562,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.3790,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.4018,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.4247,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.4475,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.4703,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.4932,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.5160,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.5388,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.5616,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.5845,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.6073,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.6301,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.6530,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.6758,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.6986,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.7215,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.7443,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
